story,text
ADVENTURE I. A SCANDAL IN BOHEMIA,"shared with all the readers of the daily press, I knew little of"
ADVENTURE I. A SCANDAL IN BOHEMIA,my former friend and companion.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"One night--it was on the twentieth of March, 1888--I was"
ADVENTURE I. A SCANDAL IN BOHEMIA,returning from a journey to a patient (for I had now returned to
ADVENTURE I. A SCANDAL IN BOHEMIA,"civil practice), when my way led me through Baker Street. As I"
ADVENTURE I. A SCANDAL IN BOHEMIA,"passed the well-remembered door, which must always be associated"
ADVENTURE I. A SCANDAL IN BOHEMIA,"in my mind with my wooing, and with the dark incidents of the"
ADVENTURE I. A SCANDAL IN BOHEMIA,"Study in Scarlet, I was seized with a keen desire to see Holmes"
ADVENTURE I. A SCANDAL IN BOHEMIA,"again, and to know how he was employing his extraordinary powers."
ADVENTURE I. A SCANDAL IN BOHEMIA,"His rooms were brilliantly lit, and, even as I looked up, I saw"
ADVENTURE I. A SCANDAL IN BOHEMIA,"his tall, spare figure pass twice in a dark silhouette against"
ADVENTURE I. A SCANDAL IN BOHEMIA,"the blind. He was pacing the room swiftly, eagerly, with his head"
ADVENTURE I. A SCANDAL IN BOHEMIA,"sunk upon his chest and his hands clasped behind him. To me, who"
ADVENTURE I. A SCANDAL IN BOHEMIA,"knew his every mood and habit, his attitude and manner told their"
ADVENTURE I. A SCANDAL IN BOHEMIA,own story. He was at work again. He had risen out of his
ADVENTURE I. A SCANDAL IN BOHEMIA,drug-created dreams and was hot upon the scent of some new
ADVENTURE I. A SCANDAL IN BOHEMIA,problem. I rang the bell and was shown up to the chamber which
ADVENTURE I. A SCANDAL IN BOHEMIA,had formerly been in part my own.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"His manner was not effusive. It seldom was; but he was glad, I"
ADVENTURE I. A SCANDAL IN BOHEMIA,"think, to see me. With hardly a word spoken, but with a kindly"
ADVENTURE I. A SCANDAL IN BOHEMIA,"eye, he waved me to an armchair, threw across his case of cigars,"
ADVENTURE I. A SCANDAL IN BOHEMIA,and indicated a spirit case and a gasogene in the corner. Then he
ADVENTURE I. A SCANDAL IN BOHEMIA,stood before the fire and looked me over in his singular
ADVENTURE I. A SCANDAL IN BOHEMIA,introspective fashion.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Wedlock suits you,"" he remarked. ""I think, Watson, that you have"
ADVENTURE I. A SCANDAL IN BOHEMIA,"put on seven and a half pounds since I saw you."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Seven!"" I answered."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Indeed, I should have thought a little more. Just a trifle more,"
ADVENTURE I. A SCANDAL IN BOHEMIA,"I fancy, Watson. And in practice again, I observe. You did not"
ADVENTURE I. A SCANDAL IN BOHEMIA,"tell me that you intended to go into harness."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Then, how do you know?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""I see it, I deduce it. How do I know that you have been getting"
ADVENTURE I. A SCANDAL IN BOHEMIA,"yourself very wet lately, and that you have a most clumsy and"
ADVENTURE I. A SCANDAL IN BOHEMIA,"careless servant girl?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""My dear Holmes,"" said I, ""this is too much. You would certainly"
ADVENTURE I. A SCANDAL IN BOHEMIA,"have been burned, had you lived a few centuries ago. It is true"
ADVENTURE I. A SCANDAL IN BOHEMIA,that I had a country walk on Thursday and came home in a dreadful
ADVENTURE I. A SCANDAL IN BOHEMIA,"mess, but as I have changed my clothes I can't imagine how you"
ADVENTURE I. A SCANDAL IN BOHEMIA,"deduce it. As to Mary Jane, she is incorrigible, and my wife has"
ADVENTURE I. A SCANDAL IN BOHEMIA,"given her notice, but there, again, I fail to see how you work it"
ADVENTURE I. A SCANDAL IN BOHEMIA,"out."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"He chuckled to himself and rubbed his long, nervous hands"
ADVENTURE I. A SCANDAL IN BOHEMIA,together.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""It is simplicity itself,"" said he; ""my eyes tell me that on the"
ADVENTURE I. A SCANDAL IN BOHEMIA,"inside of your left shoe, just where the firelight strikes it,"
ADVENTURE I. A SCANDAL IN BOHEMIA,the leather is scored by six almost parallel cuts. Obviously they
ADVENTURE I. A SCANDAL IN BOHEMIA,have been caused by someone who has very carelessly scraped round
ADVENTURE I. A SCANDAL IN BOHEMIA,the edges of the sole in order to remove crusted mud from it.
ADVENTURE I. A SCANDAL IN BOHEMIA,"Hence, you see, my double deduction that you had been out in vile"
ADVENTURE I. A SCANDAL IN BOHEMIA,"weather, and that you had a particularly malignant boot-slitting"
ADVENTURE I. A SCANDAL IN BOHEMIA,"specimen of the London slavey. As to your practice, if a"
ADVENTURE I. A SCANDAL IN BOHEMIA,"gentleman walks into my rooms smelling of iodoform, with a black"
ADVENTURE I. A SCANDAL IN BOHEMIA,"mark of nitrate of silver upon his right forefinger, and a bulge"
ADVENTURE I. A SCANDAL IN BOHEMIA,on the right side of his top-hat to show where he has secreted
ADVENTURE I. A SCANDAL IN BOHEMIA,"his stethoscope, I must be dull, indeed, if I do not pronounce"
ADVENTURE I. A SCANDAL IN BOHEMIA,"him to be an active member of the medical profession."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,I could not help laughing at the ease with which he explained his
ADVENTURE I. A SCANDAL IN BOHEMIA,"process of deduction. ""When I hear you give your reasons,"" I"
ADVENTURE I. A SCANDAL IN BOHEMIA,"remarked, ""the thing always appears to me to be so ridiculously"
ADVENTURE I. A SCANDAL IN BOHEMIA,"simple that I could easily do it myself, though at each"
ADVENTURE I. A SCANDAL IN BOHEMIA,successive instance of your reasoning I am baffled until you
ADVENTURE I. A SCANDAL IN BOHEMIA,explain your process. And yet I believe that my eyes are as good
ADVENTURE I. A SCANDAL IN BOHEMIA,"as yours."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Quite so,"" he answered, lighting a cigarette, and throwing"
ADVENTURE I. A SCANDAL IN BOHEMIA,"himself down into an armchair. ""You see, but you do not observe."
ADVENTURE I. A SCANDAL IN BOHEMIA,"The distinction is clear. For example, you have frequently seen"
ADVENTURE I. A SCANDAL IN BOHEMIA,"the steps which lead up from the hall to this room."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Frequently."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""How often?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Well, some hundreds of times."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Then how many are there?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""How many? I don't know."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Quite so! You have not observed. And yet you have seen. That is"
ADVENTURE I. A SCANDAL IN BOHEMIA,"just my point. Now, I know that there are seventeen steps,"
ADVENTURE I. A SCANDAL IN BOHEMIA,"because I have both seen and observed. By-the-way, since you are"
ADVENTURE I. A SCANDAL IN BOHEMIA,"interested in these little problems, and since you are good"
ADVENTURE I. A SCANDAL IN BOHEMIA,"enough to chronicle one or two of my trifling experiences, you"
ADVENTURE I. A SCANDAL IN BOHEMIA,"may be interested in this."" He threw over a sheet of thick,"
ADVENTURE I. A SCANDAL IN BOHEMIA,pink-tinted note-paper which had been lying open upon the table.
ADVENTURE I. A SCANDAL IN BOHEMIA,"""It came by the last post,"" said he. ""Read it aloud."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"The note was undated, and without either signature or address."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""There will call upon you to-night, at a quarter to eight"
ADVENTURE I. A SCANDAL IN BOHEMIA,"o'clock,"" it said, ""a gentleman who desires to consult you upon a"
ADVENTURE I. A SCANDAL IN BOHEMIA,matter of the very deepest moment. Your recent services to one of
ADVENTURE I. A SCANDAL IN BOHEMIA,the royal houses of Europe have shown that you are one who may
ADVENTURE I. A SCANDAL IN BOHEMIA,safely be trusted with matters which are of an importance which
ADVENTURE I. A SCANDAL IN BOHEMIA,can hardly be exaggerated. This account of you we have from all
ADVENTURE I. A SCANDAL IN BOHEMIA,"quarters received. Be in your chamber then at that hour, and do"
ADVENTURE I. A SCANDAL IN BOHEMIA,"not take it amiss if your visitor wear a mask."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""This is indeed a mystery,"" I remarked. ""What do you imagine that"
ADVENTURE I. A SCANDAL IN BOHEMIA,"it means?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""I have no data yet. It is a capital mistake to theorize before"
ADVENTURE I. A SCANDAL IN BOHEMIA,one has data. Insensibly one begins to twist facts to suit
ADVENTURE I. A SCANDAL IN BOHEMIA,"theories, instead of theories to suit facts. But the note itself."
ADVENTURE I. A SCANDAL IN BOHEMIA,"What do you deduce from it?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"I carefully examined the writing, and the paper upon which it was"
ADVENTURE I. A SCANDAL IN BOHEMIA,written.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""The man who wrote it was presumably well to do,"" I remarked,"
ADVENTURE I. A SCANDAL IN BOHEMIA,"endeavouring to imitate my companion's processes. ""Such paper"
ADVENTURE I. A SCANDAL IN BOHEMIA,could not be bought under half a crown a packet. It is peculiarly
ADVENTURE I. A SCANDAL IN BOHEMIA,"strong and stiff."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Peculiar--that is the very word,"" said Holmes. ""It is not an"
ADVENTURE I. A SCANDAL IN BOHEMIA,"English paper at all. Hold it up to the light."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"I did so, and saw a large ""E"" with a small ""g,"" a ""P,"" and a"
ADVENTURE I. A SCANDAL IN BOHEMIA,"large ""G"" with a small ""t"" woven into the texture of the paper."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""What do you make of that?"" asked Holmes."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""The name of the maker, no doubt; or his monogram, rather."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Not at all. The 'G' with the small 't' stands for"
ADVENTURE I. A SCANDAL IN BOHEMIA,"'Gesellschaft,' which is the German for 'Company.' It is a"
ADVENTURE I. A SCANDAL IN BOHEMIA,"customary contraction like our 'Co.' 'P,' of course, stands for"
ADVENTURE I. A SCANDAL IN BOHEMIA,'Papier.' Now for the 'Eg.' Let us glance at our Continental
ADVENTURE I. A SCANDAL IN BOHEMIA,"Gazetteer."" He took down a heavy brown volume from his shelves."
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Eglow, Eglonitz--here we are, Egria. It is in a German-speaking"
ADVENTURE I. A SCANDAL IN BOHEMIA,"country--in Bohemia, not far from Carlsbad. 'Remarkable as being"
ADVENTURE I. A SCANDAL IN BOHEMIA,"the scene of the death of Wallenstein, and for its numerous"
ADVENTURE I. A SCANDAL IN BOHEMIA,"glass-factories and paper-mills.' Ha, ha, my boy, what do you"
ADVENTURE I. A SCANDAL IN BOHEMIA,"make of that?"" His eyes sparkled, and he sent up a great blue"
ADVENTURE I. A SCANDAL IN BOHEMIA,triumphant cloud from his cigarette.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""The paper was made in Bohemia,"" I said."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Precisely. And the man who wrote the note is a German. Do you"
ADVENTURE I. A SCANDAL IN BOHEMIA,note the peculiar construction of the sentence--'This account of
ADVENTURE I. A SCANDAL IN BOHEMIA,you we have from all quarters received.' A Frenchman or Russian
ADVENTURE I. A SCANDAL IN BOHEMIA,could not have written that. It is the German who is so
ADVENTURE I. A SCANDAL IN BOHEMIA,"uncourteous to his verbs. It only remains, therefore, to discover"
ADVENTURE I. A SCANDAL IN BOHEMIA,what is wanted by this German who writes upon Bohemian paper and
ADVENTURE I. A SCANDAL IN BOHEMIA,"prefers wearing a mask to showing his face. And here he comes, if"
ADVENTURE I. A SCANDAL IN BOHEMIA,"I am not mistaken, to resolve all our doubts."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,As he spoke there was the sharp sound of horses' hoofs and
ADVENTURE I. A SCANDAL IN BOHEMIA,"grating wheels against the curb, followed by a sharp pull at the"
ADVENTURE I. A SCANDAL IN BOHEMIA,bell. Holmes whistled.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""A pair, by the sound,"" said he. ""Yes,"" he continued, glancing"
ADVENTURE I. A SCANDAL IN BOHEMIA,"out of the window. ""A nice little brougham and a pair of"
ADVENTURE I. A SCANDAL IN BOHEMIA,beauties. A hundred and fifty guineas apiece. There's money in
ADVENTURE I. A SCANDAL IN BOHEMIA,"this case, Watson, if there is nothing else."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""I think that I had better go, Holmes."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Not a bit, Doctor. Stay where you are. I am lost without my"
ADVENTURE I. A SCANDAL IN BOHEMIA,Boswell. And this promises to be interesting. It would be a pity
ADVENTURE I. A SCANDAL IN BOHEMIA,"to miss it."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""But your client--"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Never mind him. I may want your help, and so may he. Here he"
ADVENTURE I. A SCANDAL IN BOHEMIA,"comes. Sit down in that armchair, Doctor, and give us your best"
ADVENTURE I. A SCANDAL IN BOHEMIA,"attention."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"A slow and heavy step, which had been heard upon the stairs and"
ADVENTURE I. A SCANDAL IN BOHEMIA,"in the passage, paused immediately outside the door. Then there"
ADVENTURE I. A SCANDAL IN BOHEMIA,was a loud and authoritative tap.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Come in!"" said Holmes."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,A man entered who could hardly have been less than six feet six
ADVENTURE I. A SCANDAL IN BOHEMIA,"inches in height, with the chest and limbs of a Hercules. His"
ADVENTURE I. A SCANDAL IN BOHEMIA,"dress was rich with a richness which would, in England, be looked"
ADVENTURE I. A SCANDAL IN BOHEMIA,upon as akin to bad taste. Heavy bands of astrakhan were slashed
ADVENTURE I. A SCANDAL IN BOHEMIA,"across the sleeves and fronts of his double-breasted coat, while"
ADVENTURE I. A SCANDAL IN BOHEMIA,the deep blue cloak which was thrown over his shoulders was lined
ADVENTURE I. A SCANDAL IN BOHEMIA,with flame-coloured silk and secured at the neck with a brooch
ADVENTURE I. A SCANDAL IN BOHEMIA,which consisted of a single flaming beryl. Boots which extended
ADVENTURE I. A SCANDAL IN BOHEMIA,"halfway up his calves, and which were trimmed at the tops with"
ADVENTURE I. A SCANDAL IN BOHEMIA,"rich brown fur, completed the impression of barbaric opulence"
ADVENTURE I. A SCANDAL IN BOHEMIA,which was suggested by his whole appearance. He carried a
ADVENTURE I. A SCANDAL IN BOHEMIA,"broad-brimmed hat in his hand, while he wore across the upper"
ADVENTURE I. A SCANDAL IN BOHEMIA,"part of his face, extending down past the cheekbones, a black"
ADVENTURE I. A SCANDAL IN BOHEMIA,"vizard mask, which he had apparently adjusted that very moment,"
ADVENTURE I. A SCANDAL IN BOHEMIA,for his hand was still raised to it as he entered. From the lower
ADVENTURE I. A SCANDAL IN BOHEMIA,"part of the face he appeared to be a man of strong character,"
ADVENTURE I. A SCANDAL IN BOHEMIA,"with a thick, hanging lip, and a long, straight chin suggestive"
ADVENTURE I. A SCANDAL IN BOHEMIA,of resolution pushed to the length of obstinacy.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""You had my note?"" he asked with a deep harsh voice and a"
ADVENTURE I. A SCANDAL IN BOHEMIA,"strongly marked German accent. ""I told you that I would call."" He"
ADVENTURE I. A SCANDAL IN BOHEMIA,"looked from one to the other of us, as if uncertain which to"
ADVENTURE I. A SCANDAL IN BOHEMIA,address.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Pray take a seat,"" said Holmes. ""This is my friend and"
ADVENTURE I. A SCANDAL IN BOHEMIA,"colleague, Dr. Watson, who is occasionally good enough to help me"
ADVENTURE I. A SCANDAL IN BOHEMIA,"in my cases. Whom have I the honour to address?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""You may address me as the Count Von Kramm, a Bohemian nobleman."
ADVENTURE I. A SCANDAL IN BOHEMIA,"I understand that this gentleman, your friend, is a man of honour"
ADVENTURE I. A SCANDAL IN BOHEMIA,"and discretion, whom I may trust with a matter of the most"
ADVENTURE I. A SCANDAL IN BOHEMIA,"extreme importance. If not, I should much prefer to communicate"
ADVENTURE I. A SCANDAL IN BOHEMIA,"with you alone."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"I rose to go, but Holmes caught me by the wrist and pushed me"
ADVENTURE I. A SCANDAL IN BOHEMIA,"back into my chair. ""It is both, or none,"" said he. ""You may say"
ADVENTURE I. A SCANDAL IN BOHEMIA,"before this gentleman anything which you may say to me."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"The Count shrugged his broad shoulders. ""Then I must begin,"" said"
ADVENTURE I. A SCANDAL IN BOHEMIA,"he, ""by binding you both to absolute secrecy for two years; at"
ADVENTURE I. A SCANDAL IN BOHEMIA,the end of that time the matter will be of no importance. At
ADVENTURE I. A SCANDAL IN BOHEMIA,present it is not too much to say that it is of such weight it
ADVENTURE I. A SCANDAL IN BOHEMIA,"may have an influence upon European history."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""I promise,"" said Holmes."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""And I."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""You will excuse this mask,"" continued our strange visitor. ""The"
ADVENTURE I. A SCANDAL IN BOHEMIA,august person who employs me wishes his agent to be unknown to
ADVENTURE I. A SCANDAL IN BOHEMIA,"you, and I may confess at once that the title by which I have"
ADVENTURE I. A SCANDAL IN BOHEMIA,"just called myself is not exactly my own."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""I was aware of it,"" said Holmes dryly."
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""The circumstances are of great delicacy, and every precaution"
ADVENTURE I. A SCANDAL IN BOHEMIA,has to be taken to quench what might grow to be an immense
ADVENTURE I. A SCANDAL IN BOHEMIA,scandal and seriously compromise one of the reigning families of
ADVENTURE I. A SCANDAL IN BOHEMIA,"Europe. To speak plainly, the matter implicates the great House"
ADVENTURE I. A SCANDAL IN BOHEMIA,"of Ormstein, hereditary kings of Bohemia."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""I was also aware of that,"" murmured Holmes, settling himself"
ADVENTURE I. A SCANDAL IN BOHEMIA,down in his armchair and closing his eyes.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"Our visitor glanced with some apparent surprise at the languid,"
ADVENTURE I. A SCANDAL IN BOHEMIA,lounging figure of the man who had been no doubt depicted to him
ADVENTURE I. A SCANDAL IN BOHEMIA,as the most incisive reasoner and most energetic agent in Europe.
ADVENTURE I. A SCANDAL IN BOHEMIA,Holmes slowly reopened his eyes and looked impatiently at his
ADVENTURE I. A SCANDAL IN BOHEMIA,gigantic client.
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""If your Majesty would condescend to state your case,"" he"
ADVENTURE I. A SCANDAL IN BOHEMIA,"remarked, ""I should be better able to advise you."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,The man sprang from his chair and paced up and down the room in
ADVENTURE I. A SCANDAL IN BOHEMIA,"uncontrollable agitation. Then, with a gesture of desperation, he"
ADVENTURE I. A SCANDAL IN BOHEMIA,"tore the mask from his face and hurled it upon the ground. ""You"
ADVENTURE I. A SCANDAL IN BOHEMIA,"are right,"" he cried; ""I am the King. Why should I attempt to"
ADVENTURE I. A SCANDAL IN BOHEMIA,"conceal it?"""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""Why, indeed?"" murmured Holmes. ""Your Majesty had not spoken"
ADVENTURE I. A SCANDAL IN BOHEMIA,before I was aware that I was addressing Wilhelm Gottsreich
ADVENTURE I. A SCANDAL IN BOHEMIA,"Sigismond von Ormstein, Grand Duke of Cassel-Felstein, and"
ADVENTURE I. A SCANDAL IN BOHEMIA,"hereditary King of Bohemia."""
ADVENTURE I. A SCANDAL IN BOHEMIA,NA
ADVENTURE I. A SCANDAL IN BOHEMIA,"""But you can understand,"" said our strange visitor, sitting down"
ADVENTURE I. A SCANDAL IN BOHEMIA,"once more and passing his hand over his high white forehead, ""you"
ADVENTURE I. A SCANDAL IN BOHEMIA,can understand that I am not accustomed to doing such business in
ADVENTURE I. A SCANDAL IN BOHEMIA,my own person. Yet the matter was so delicate that I could not
ADVENTURE I. A SCANDAL IN BOHEMIA,confide it to an agent without putting myself in his power. I
ADVENTURE I. A SCANDAL IN BOHEMIA,have come incognito from Prague for the purpose of consulting
ADVENTURE I. A SCANDAL IN BOHEMIA,"you."""
